url,category_code,secondary_category,subcategory,comments,,,,,,,,,,,,,,,,,,,,,,
http://nashwannews.com/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://nbaonline.org/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://newslive-ye.com,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://newslive-ye.com/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://saadahpress.net/news/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://saadanet.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://saadaonline.com,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://sabanews.net/ar/,NEWS,Yemen Government news agency,,,,,,,,,,,,,,,,,,,,,,,,
http://safannews.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://sahafah.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://saharejaden.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://samaa-news.net/index.php,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://samapress.net/index.php,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://sanaanews.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://sanaatimes.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://sawt-eshaab.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://suhail.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://tahamatoday.tadwen.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://taizcity.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://takatol.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.26sep.net,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.aden-now.com/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.adenalhadath.net/,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.adenalmnarh.com,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.adenpress.com,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
http://www.al-ayyam.info,NEWS,Local media,,,,,,,,,,,,,,,,,,,,,,,,
