url,category_code,category_description
http://www.newsalser.com/,NEWS,News and media
http://www.twalnews.org/,NEWS,News and media
http://www.jazanweb.org/inf/,NEWS,News and media
http://www.baareq.com.sa/,NEWS,News and media
http://www.ow-news.com/,NEWS,News and media
http://www.bareq.net/news/,NEWS,News and media
http://www.maaal.com/,NEWS,News and media
http://www.sharurah.com/news/,NEWS,News and media
http://www.79ry.com/,NEWS,News and media
http://www.makkah-now.com/,NEWS,News and media
http://www.brgnews.com/news/,NEWS,News and media
http://news-ksa.com/,NEWS,News and media
http://ittisport.com/,NEWS,News and media
http://www.albndar.com/,NEWS,News and media
http://sofaraa.net/,NEWS,News and media
http://www.sehaonline.com/,NEWS,News and media
http://qanonnet.net/,NEWS,News and media
http://www.raniah.net/,NEWS,News and media
http://www.yhail.net/,NEWS,News and media
http://www.ham-24.com/,NEWS,News and media
http://www.aldelam.net/,NEWS,News and media
http://www.saudi.gov.sa/wps/portal/yesserRoot/home,NEWS,News and media
http://www.3-hail.com/,NEWS,News and media
http://noonews.com/,NEWS,News and media
http://adwaalwatan.com/,NEWS,News and media
http://a3lam-ksa.net.sa/,NEWS,News and media
http://www.souqokazdigital.com/,NEWS,News and media
http://www.okazdigital.com/,NEWS,News and media
http://www.saudigazette.com.sa/epaper/,NEWS,News and media
http://www.spa.gov.sa/,NEWS,News and media
http://www.mapnews.com/,NEWS,News and media
http://www.daralakhbar.com/,NEWS,News and media
www.moi.gov.sa,NEWS,News and media
www.alhadath.net,NEWS,News and media
